time_mus,voltage_V
0, 7.06
4.11, 6.28
8.91, 5.50
13.1, 4.9
20.7, 3.94
27.3, 3.28
35.1, 2.66
43.7, 2.10
53.3, 1.62
74.8, 0.90
88.7, 0.62
