frequency_Hz,Vpp_V
500,7.24
1000,7.12
1500, 6.92
2500, 6.40
5000, 4.92
7500, 3.88
10000, 3.00
12500, 2.49
15000, 2.12
20000, 2.33
25000, 1.92
30000, 1.64
40000, 1.23
50000, 1.00
75000, 0.68
100000, 0.51
200000, 0.27
